,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x24,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,DUMP.CCP.SH.PARAM20,uint8_t,ccp_dump->dump.ccp.packet[35],PACKET,77,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM21,uint8_t,ccp_dump->dump.ccp.packet[36],PACKET,78,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM22,uint8_t,ccp_dump->dump.ccp.packet[37],PACKET,79,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM23,uint8_t,ccp_dump->dump.ccp.packet[38],PACKET,80,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM24,uint8_t,ccp_dump->dump.ccp.packet[39],PACKET,81,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM25,uint8_t,ccp_dump->dump.ccp.packet[40],PACKET,82,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM26,uint8_t,ccp_dump->dump.ccp.packet[41],PACKET,83,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM27,uint8_t,ccp_dump->dump.ccp.packet[42],PACKET,84,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM28,uint8_t,ccp_dump->dump.ccp.packet[43],PACKET,85,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM29,uint8_t,ccp_dump->dump.ccp.packet[44],PACKET,86,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM30,uint8_t,ccp_dump->dump.ccp.packet[45],PACKET,87,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM31,uint8_t,ccp_dump->dump.ccp.packet[46],PACKET,88,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM32,uint8_t,ccp_dump->dump.ccp.packet[47],PACKET,89,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM33,uint8_t,ccp_dump->dump.ccp.packet[48],PACKET,90,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM34,uint8_t,ccp_dump->dump.ccp.packet[49],PACKET,91,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM35,uint8_t,ccp_dump->dump.ccp.packet[50],PACKET,92,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM36,uint8_t,ccp_dump->dump.ccp.packet[51],PACKET,93,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM37,uint8_t,ccp_dump->dump.ccp.packet[52],PACKET,94,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM38,uint8_t,ccp_dump->dump.ccp.packet[53],PACKET,95,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM39,uint8_t,ccp_dump->dump.ccp.packet[54],PACKET,96,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM40,uint8_t,ccp_dump->dump.ccp.packet[55],PACKET,97,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM41,uint8_t,ccp_dump->dump.ccp.packet[56],PACKET,98,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM42,uint8_t,ccp_dump->dump.ccp.packet[57],PACKET,99,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM43,uint8_t,ccp_dump->dump.ccp.packet[58],PACKET,100,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM44,uint8_t,ccp_dump->dump.ccp.packet[59],PACKET,101,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM45,uint8_t,ccp_dump->dump.ccp.packet[60],PACKET,102,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM46,uint8_t,ccp_dump->dump.ccp.packet[61],PACKET,103,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM47,uint8_t,ccp_dump->dump.ccp.packet[62],PACKET,104,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM48,uint8_t,ccp_dump->dump.ccp.packet[63],PACKET,105,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM49,uint8_t,ccp_dump->dump.ccp.packet[64],PACKET,106,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM50,uint8_t,ccp_dump->dump.ccp.packet[65],PACKET,107,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM51,uint8_t,ccp_dump->dump.ccp.packet[66],PACKET,108,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM52,uint8_t,ccp_dump->dump.ccp.packet[67],PACKET,109,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM53,uint8_t,ccp_dump->dump.ccp.packet[68],PACKET,110,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM54,uint8_t,ccp_dump->dump.ccp.packet[69],PACKET,111,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM55,uint8_t,ccp_dump->dump.ccp.packet[70],PACKET,112,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM56,uint8_t,ccp_dump->dump.ccp.packet[71],PACKET,113,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM57,uint8_t,ccp_dump->dump.ccp.packet[72],PACKET,114,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM58,uint8_t,ccp_dump->dump.ccp.packet[73],PACKET,115,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM59,uint8_t,ccp_dump->dump.ccp.packet[74],PACKET,116,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM60,uint8_t,ccp_dump->dump.ccp.packet[75],PACKET,117,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM61,uint8_t,ccp_dump->dump.ccp.packet[76],PACKET,118,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM62,uint8_t,ccp_dump->dump.ccp.packet[77],PACKET,119,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM63,uint8_t,ccp_dump->dump.ccp.packet[78],PACKET,120,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM64,uint8_t,ccp_dump->dump.ccp.packet[79],PACKET,121,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM65,uint8_t,ccp_dump->dump.ccp.packet[80],PACKET,122,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM66,uint8_t,ccp_dump->dump.ccp.packet[81],PACKET,123,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM67,uint8_t,ccp_dump->dump.ccp.packet[82],PACKET,124,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM68,uint8_t,ccp_dump->dump.ccp.packet[83],PACKET,125,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM69,uint8_t,ccp_dump->dump.ccp.packet[84],PACKET,126,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM70,uint8_t,ccp_dump->dump.ccp.packet[85],PACKET,127,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM71,uint8_t,ccp_dump->dump.ccp.packet[86],PACKET,128,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM72,uint8_t,ccp_dump->dump.ccp.packet[87],PACKET,129,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM73,uint8_t,ccp_dump->dump.ccp.packet[88],PACKET,130,0,8,HEX,,,,,,,,,
